# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 7.000000e-01
# Aref        : 1.820000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
67            	1.290696e-03	5.475353e-02	1.514775e-03	2.048084e-03	-5.333090e-04
68            	1.294282e-03	5.475991e-02	1.518627e-03	2.053595e-03	-5.349684e-04
69            	1.299610e-03	5.475236e-02	1.523404e-03	2.061311e-03	-5.379078e-04
70            	1.304283e-03	5.475337e-02	1.527764e-03	2.068165e-03	-5.404010e-04
71            	1.310248e-03	5.475359e-02	1.532777e-03	2.076636e-03	-5.438596e-04
72            	1.313757e-03	5.474778e-02	1.537603e-03	2.082558e-03	-5.449553e-04
73            	1.321249e-03	5.474862e-02	1.542761e-03	2.092629e-03	-5.498680e-04
74            	1.326006e-03	5.474727e-02	1.548003e-03	2.100008e-03	-5.520043e-04
75            	1.333169e-03	5.473967e-02	1.553689e-03	2.110014e-03	-5.563248e-04
76            	1.337982e-03	5.474205e-02	1.558901e-03	2.117432e-03	-5.585309e-04
77            	1.344972e-03	5.473750e-02	1.565562e-03	2.127753e-03	-5.621906e-04
78            	1.351908e-03	5.473455e-02	1.571887e-03	2.137851e-03	-5.659642e-04
79            	1.359102e-03	5.473117e-02	1.578268e-03	2.148236e-03	-5.699681e-04
80            	1.365770e-03	5.473348e-02	1.584527e-03	2.158033e-03	-5.735061e-04
81            	1.373153e-03	5.472511e-02	1.591573e-03	2.168940e-03	-5.773664e-04
82            	1.379815e-03	5.472630e-02	1.597491e-03	2.178561e-03	-5.810700e-04
83            	1.388629e-03	5.472425e-02	1.605006e-03	2.191132e-03	-5.861256e-04
84            	1.394274e-03	5.472248e-02	1.611273e-03	2.199910e-03	-5.886378e-04
85            	1.402632e-03	5.471701e-02	1.617863e-03	2.211563e-03	-5.937004e-04
86            	1.407771e-03	5.472141e-02	1.623876e-03	2.219709e-03	-5.958329e-04
87            	1.416412e-03	5.471117e-02	1.630652e-03	2.231738e-03	-6.010862e-04
88            	1.422102e-03	5.471325e-02	1.636433e-03	2.240319e-03	-6.038858e-04
89            	1.429158e-03	5.470924e-02	1.643175e-03	2.250745e-03	-6.075702e-04
90            	1.436110e-03	5.470820e-02	1.649050e-03	2.260634e-03	-6.115848e-04
91            	1.442026e-03	5.470568e-02	1.654656e-03	2.269354e-03	-6.146982e-04
92            	1.446945e-03	5.470101e-02	1.659380e-03	2.276635e-03	-6.172553e-04
93            	1.453809e-03	5.470093e-02	1.665609e-03	2.286613e-03	-6.210043e-04
94            	1.459362e-03	5.469833e-02	1.670203e-03	2.294463e-03	-6.242600e-04
95            	1.465011e-03	5.469483e-02	1.675560e-03	2.302791e-03	-6.272316e-04
96            	1.470543e-03	5.469160e-02	1.681163e-03	2.311124e-03	-6.299617e-04
97            	1.475305e-03	5.468858e-02	1.684961e-03	2.317786e-03	-6.328252e-04
98            	1.481142e-03	5.468992e-02	1.690485e-03	2.326385e-03	-6.358995e-04
99            	1.485281e-03	5.468205e-02	1.694488e-03	2.332525e-03	-6.380369e-04
100           	1.491581e-03	5.468635e-02	1.698942e-03	2.341052e-03	-6.421105e-04
101           	1.494929e-03	5.468113e-02	1.703757e-03	2.346807e-03	-6.430501e-04
102           	1.501187e-03	5.467947e-02	1.708041e-03	2.355207e-03	-6.471661e-04
103           	1.506349e-03	5.467679e-02	1.712363e-03	2.362530e-03	-6.501674e-04
104           	1.509991e-03	5.467910e-02	1.716433e-03	2.368208e-03	-6.517747e-04
105           	1.515231e-03	5.467063e-02	1.721068e-03	2.375765e-03	-6.546965e-04
106           	1.519011e-03	5.467690e-02	1.724866e-03	2.381444e-03	-6.565781e-04
107           	1.524195e-03	5.466974e-02	1.729367e-03	2.388879e-03	-6.595115e-04
108           	1.528757e-03	5.467227e-02	1.733767e-03	2.395640e-03	-6.618734e-04
109           	1.533804e-03	5.466513e-02	1.738030e-03	2.402820e-03	-6.647890e-04
110           	1.537715e-03	5.466707e-02	1.741773e-03	2.408602e-03	-6.668286e-04
111           	1.543809e-03	5.466268e-02	1.747095e-03	2.417357e-03	-6.702616e-04
112           	1.547286e-03	5.466014e-02	1.750926e-03	2.422748e-03	-6.718226e-04
113           	1.554184e-03	5.466206e-02	1.756514e-03	2.432441e-03	-6.759270e-04
114           	1.558701e-03	5.465946e-02	1.761514e-03	2.439457e-03	-6.779436e-04
115           	1.564552e-03	5.465457e-02	1.766076e-03	2.447590e-03	-6.815139e-04
116           	1.569597e-03	5.465931e-02	1.771368e-03	2.455281e-03	-6.839135e-04
