# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 7.000000e-01
# Aref        : 1.820000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
292           	1.541983e-03	5.468633e-02	1.739894e-03	2.411930e-03	-6.720358e-04
293           	1.542520e-03	5.468958e-02	1.740810e-03	2.412925e-03	-6.721152e-04
294           	1.541956e-03	5.468636e-02	1.740720e-03	2.412316e-03	-6.715962e-04
295           	1.543001e-03	5.468513e-02	1.740565e-03	2.413283e-03	-6.727183e-04
296           	1.541891e-03	5.468927e-02	1.740714e-03	2.412248e-03	-6.715343e-04
297           	1.541984e-03	5.468297e-02	1.740660e-03	2.412314e-03	-6.716533e-04
298           	1.543544e-03	5.468821e-02	1.740766e-03	2.413927e-03	-6.731608e-04
299           	1.542190e-03	5.468628e-02	1.740536e-03	2.412458e-03	-6.719224e-04
300           	1.542967e-03	5.468622e-02	1.740507e-03	2.413220e-03	-6.727134e-04
301           	1.542325e-03	5.468739e-02	1.740850e-03	2.412750e-03	-6.718996e-04
302           	1.541849e-03	5.468724e-02	1.740187e-03	2.411942e-03	-6.717557e-04
303           	1.543433e-03	5.468634e-02	1.740961e-03	2.413913e-03	-6.729527e-04
304           	1.541828e-03	5.468990e-02	1.740173e-03	2.411914e-03	-6.717413e-04
305           	1.542311e-03	5.468609e-02	1.740157e-03	2.412389e-03	-6.722324e-04
306           	1.541331e-03	5.469046e-02	1.740256e-03	2.411459e-03	-6.712036e-04
307           	1.543467e-03	5.468571e-02	1.740415e-03	2.413675e-03	-6.732599e-04
308           	1.541738e-03	5.468973e-02	1.740538e-03	2.412008e-03	-6.714692e-04
309           	1.542638e-03	5.468406e-02	1.740963e-03	2.413120e-03	-6.721570e-04
310           	1.542489e-03	5.468782e-02	1.740536e-03	2.412757e-03	-6.722213e-04
311           	1.542660e-03	5.468872e-02	1.740815e-03	2.413068e-03	-6.722521e-04
312           	1.542554e-03	5.468442e-02	1.740885e-03	2.412997e-03	-6.721120e-04
313           	1.543507e-03	5.468724e-02	1.741183e-03	2.414098e-03	-6.729154e-04
314           	1.542945e-03	5.468851e-02	1.741368e-03	2.413629e-03	-6.722609e-04
315           	1.543581e-03	5.468254e-02	1.741599e-03	2.414381e-03	-6.727819e-04
316           	1.542696e-03	5.468848e-02	1.740852e-03	2.413122e-03	-6.722699e-04
317           	1.542263e-03	5.468348e-02	1.740981e-03	2.412753e-03	-6.717728e-04
318           	1.542968e-03	5.468936e-02	1.740960e-03	2.413448e-03	-6.724884e-04
319           	1.543860e-03	5.468308e-02	1.741587e-03	2.414653e-03	-6.730666e-04
320           	1.543247e-03	5.468916e-02	1.741242e-03	2.413869e-03	-6.726262e-04
321           	1.543836e-03	5.468521e-02	1.741853e-03	2.414762e-03	-6.729096e-04
322           	1.542636e-03	5.468798e-02	1.740817e-03	2.413044e-03	-6.722271e-04
323           	1.543681e-03	5.468723e-02	1.741253e-03	2.414308e-03	-6.730546e-04
324           	1.542961e-03	5.468908e-02	1.741414e-03	2.413669e-03	-6.722542e-04
325           	1.543775e-03	5.468639e-02	1.741484e-03	2.414518e-03	-6.730333e-04
326           	1.543211e-03	5.468960e-02	1.741759e-03	2.414090e-03	-6.723310e-04
327           	1.544414e-03	5.468412e-02	1.741960e-03	2.415394e-03	-6.734341e-04
328           	1.543366e-03	5.468746e-02	1.741351e-03	2.414041e-03	-6.726902e-04
329           	1.542555e-03	5.468636e-02	1.741529e-03	2.413319e-03	-6.717900e-04
330           	1.544207e-03	5.468545e-02	1.741845e-03	2.415130e-03	-6.732843e-04
331           	1.543618e-03	5.468640e-02	1.741935e-03	2.414585e-03	-6.726503e-04
332           	1.543852e-03	5.468579e-02	1.742017e-03	2.414861e-03	-6.728439e-04
333           	1.544400e-03	5.468485e-02	1.742260e-03	2.415530e-03	-6.732697e-04
334           	1.543628e-03	5.468621e-02	1.741462e-03	2.414358e-03	-6.728968e-04
335           	1.543769e-03	5.468556e-02	1.741142e-03	2.414340e-03	-6.731981e-04
336           	1.543016e-03	5.468611e-02	1.741627e-03	2.413829e-03	-6.722025e-04
337           	1.543541e-03	5.468530e-02	1.741103e-03	2.414092e-03	-6.729891e-04
338           	1.543205e-03	5.469070e-02	1.741528e-03	2.413969e-03	-6.724406e-04
339           	1.544038e-03	5.468475e-02	1.742175e-03	2.415126e-03	-6.729501e-04
340           	1.543941e-03	5.468886e-02	1.741380e-03	2.414631e-03	-6.732516e-04
341           	1.543334e-03	5.468842e-02	1.741902e-03	2.414285e-03	-6.723828e-04
342           	1.543168e-03	5.468558e-02	1.741604e-03	2.413970e-03	-6.723656e-04
343           	1.545067e-03	5.468746e-02	1.742320e-03	2.416227e-03	-6.739074e-04
344           	1.543830e-03	5.468818e-02	1.741914e-03	2.414788e-03	-6.728733e-04
345           	1.544196e-03	5.468557e-02	1.742282e-03	2.415337e-03	-6.730545e-04
346           	1.543516e-03	5.469018e-02	1.741700e-03	2.414366e-03	-6.726654e-04
347           	1.544136e-03	5.468507e-02	1.741870e-03	2.415071e-03	-6.732014e-04
348           	1.543915e-03	5.468746e-02	1.742062e-03	2.414946e-03	-6.728835e-04
349           	1.543863e-03	5.468448e-02	1.741851e-03	2.414789e-03	-6.729377e-04
350           	1.543767e-03	5.468838e-02	1.741996e-03	2.414765e-03	-6.727689e-04
351           	1.544415e-03	5.468398e-02	1.742428e-03	2.415628e-03	-6.732007e-04
352           	1.543116e-03	5.468683e-02	1.741555e-03	2.413894e-03	-6.723386e-04
353           	1.544357e-03	5.468632e-02	1.742283e-03	2.415498e-03	-6.732153e-04
354           	1.543945e-03	5.468697e-02	1.741960e-03	2.414925e-03	-6.729649e-04
355           	1.544642e-03	5.468342e-02	1.741637e-03	2.415460e-03	-6.738235e-04
356           	1.543180e-03	5.469000e-02	1.741615e-03	2.413988e-03	-6.723727e-04
357           	1.543816e-03	5.468503e-02	1.741795e-03	2.414714e-03	-6.729188e-04
358           	1.543665e-03	5.468891e-02	1.741471e-03	2.414401e-03	-6.729300e-04
359           	1.543289e-03	5.468788e-02	1.741702e-03	2.414140e-03	-6.724379e-04
360           	1.543554e-03	5.468797e-02	1.741594e-03	2.414351e-03	-6.727566e-04
361           	1.543544e-03	5.468663e-02	1.741502e-03	2.414295e-03	-6.727935e-04
362           	1.542893e-03	5.468757e-02	1.740972e-03	2.413379e-03	-6.724075e-04
363           	1.544673e-03	5.468858e-02	1.741837e-03	2.415592e-03	-6.737549e-04
364           	1.543426e-03	5.468737e-02	1.741416e-03	2.414134e-03	-6.727181e-04
365           	1.543916e-03	5.468575e-02	1.742109e-03	2.414971e-03	-6.728621e-04
366           	1.543695e-03	5.468784e-02	1.742272e-03	2.414831e-03	-6.725588e-04
367           	1.543956e-03	5.468410e-02	1.741578e-03	2.414745e-03	-6.731675e-04
368           	1.543651e-03	5.468755e-02	1.741891e-03	2.414596e-03	-6.727051e-04
369           	1.543563e-03	5.468369e-02	1.742064e-03	2.414595e-03	-6.725309e-04
370           	1.544514e-03	5.468811e-02	1.741789e-03	2.415408e-03	-6.736190e-04
371           	1.544166e-03	5.468704e-02	1.742266e-03	2.415299e-03	-6.730332e-04
372           	1.543586e-03	5.468487e-02	1.741769e-03	2.414471e-03	-6.727014e-04
373           	1.543979e-03	5.468675e-02	1.741771e-03	2.414865e-03	-6.730935e-04
374           	1.542797e-03	5.469019e-02	1.741355e-03	2.413475e-03	-6.721194e-04
375           	1.545031e-03	5.468249e-02	1.742189e-03	2.416126e-03	-6.739364e-04
376           	1.542702e-03	5.469004e-02	1.741291e-03	2.413348e-03	-6.720568e-04
377           	1.544490e-03	5.468667e-02	1.742002e-03	2.415491e-03	-6.734891e-04
378           	1.543683e-03	5.468865e-02	1.742414e-03	2.414890e-03	-6.724755e-04
379           	1.544373e-03	5.468571e-02	1.741726e-03	2.415236e-03	-6.735101e-04
380           	1.543451e-03	5.469002e-02	1.741391e-03	2.414146e-03	-6.727556e-04
381           	1.543190e-03	5.468687e-02	1.741824e-03	2.414101e-03	-6.722777e-04
382           	1.543381e-03	5.468552e-02	1.741194e-03	2.413978e-03	-6.727844e-04
383           	1.544211e-03	5.468859e-02	1.741948e-03	2.415185e-03	-6.732365e-04
384           	1.544137e-03	5.468583e-02	1.742216e-03	2.415245e-03	-6.730296e-04
385           	1.543391e-03	5.468673e-02	1.741469e-03	2.414126e-03	-6.726569e-04
386           	1.543510e-03	5.468947e-02	1.741779e-03	2.414399e-03	-6.726203e-04
387           	1.543374e-03	5.468273e-02	1.741651e-03	2.414199e-03	-6.725484e-04
388           	1.543684e-03	5.468923e-02	1.741201e-03	2.414285e-03	-6.730835e-04
389           	1.543168e-03	5.468420e-02	1.741573e-03	2.413954e-03	-6.723813e-04
390           	1.543687e-03	5.468748e-02	1.741253e-03	2.414314e-03	-6.730603e-04
391           	1.543719e-03	5.468535e-02	1.741381e-03	2.414410e-03	-6.730285e-04
392           	1.542922e-03	5.468829e-02	1.741467e-03	2.413656e-03	-6.721888e-04
393           	1.544290e-03	5.468570e-02	1.741956e-03	2.415268e-03	-6.733119e-04
394           	1.543320e-03	5.469036e-02	1.741369e-03	2.414005e-03	-6.726356e-04
395           	1.543930e-03	5.468661e-02	1.741757e-03	2.414809e-03	-6.730522e-04
396           	1.543325e-03	5.468882e-02	1.741726e-03	2.414188e-03	-6.724619e-04
397           	1.543812e-03	5.468660e-02	1.741532e-03	2.414578e-03	-6.730467e-04
398           	1.543803e-03	5.468903e-02	1.741732e-03	2.414669e-03	-6.729374e-04
399           	1.544463e-03	5.468662e-02	1.742278e-03	2.415602e-03	-6.733240e-04
400           	1.543826e-03	5.468497e-02	1.741430e-03	2.414541e-03	-6.731104e-04
401           	1.542839e-03	5.468828e-02	1.741835e-03	2.413757e-03	-6.719221e-04
402           	1.543612e-03	5.468635e-02	1.741601e-03	2.414413e-03	-6.728115e-04
403           	1.544200e-03	5.468674e-02	1.741729e-03	2.415064e-03	-6.733353e-04
404           	1.543787e-03	5.468799e-02	1.742146e-03	2.414860e-03	-6.727145e-04
405           	1.544036e-03	5.468395e-02	1.742193e-03	2.415133e-03	-6.729397e-04
406           	1.543146e-03	5.468732e-02	1.741711e-03	2.414001e-03	-6.722908e-04
407           	1.543355e-03	5.468447e-02	1.741147e-03	2.413928e-03	-6.727817e-04
408           	1.543258e-03	5.468692e-02	1.741562e-03	2.414039e-03	-6.724770e-04
409           	1.543473e-03	5.468554e-02	1.741317e-03	2.414131e-03	-6.728143e-04
410           	1.543692e-03	5.468968e-02	1.741368e-03	2.414376e-03	-6.730077e-04
411           	1.544368e-03	5.468555e-02	1.742043e-03	2.415390e-03	-6.733465e-04
412           	1.542722e-03	5.468804e-02	1.740774e-03	2.413109e-03	-6.723350e-04
413           	1.543684e-03	5.468850e-02	1.741542e-03	2.414455e-03	-6.729130e-04
414           	1.542239e-03	5.468846e-02	1.741100e-03	2.412789e-03	-6.716894e-04
415           	1.544220e-03	5.468596e-02	1.741322e-03	2.414882e-03	-6.735592e-04
416           	1.542561e-03	5.469193e-02	1.741227e-03	2.413174e-03	-6.719468e-04
417           	1.544470e-03	5.468383e-02	1.742088e-03	2.415514e-03	-6.734261e-04
418           	1.543543e-03	5.468814e-02	1.741529e-03	2.414307e-03	-6.727782e-04
419           	1.543877e-03	5.468741e-02	1.741718e-03	2.414736e-03	-6.730181e-04
420           	1.543306e-03	5.468449e-02	1.741662e-03	2.414137e-03	-6.724752e-04
421           	1.543881e-03	5.468680e-02	1.741853e-03	2.414807e-03	-6.729545e-04
422           	1.543097e-03	5.468683e-02	1.741783e-03	2.413988e-03	-6.722051e-04
423           	1.544890e-03	5.468488e-02	1.742621e-03	2.416200e-03	-6.735788e-04
424           	1.543565e-03	5.468694e-02	1.741594e-03	2.414362e-03	-6.727684e-04
425           	1.543575e-03	5.468497e-02	1.741434e-03	2.414292e-03	-6.728582e-04
426           	1.542756e-03	5.468786e-02	1.741070e-03	2.413291e-03	-6.722211e-04
427           	1.543768e-03	5.468361e-02	1.741280e-03	2.414408e-03	-6.731276e-04
428           	1.543545e-03	5.468963e-02	1.741426e-03	2.414258e-03	-6.728320e-04
429           	1.543118e-03	5.468444e-02	1.741837e-03	2.414037e-03	-6.721996e-04
430           	1.544163e-03	5.468969e-02	1.741503e-03	2.414915e-03	-6.734114e-04
431           	1.543332e-03	5.468756e-02	1.741573e-03	2.414118e-03	-6.725452e-04
432           	1.542883e-03	5.468674e-02	1.741165e-03	2.413466e-03	-6.723002e-04
433           	1.543786e-03	5.468753e-02	1.741287e-03	2.414430e-03	-6.731429e-04
434           	1.543309e-03	5.469032e-02	1.741580e-03	2.414099e-03	-6.725191e-04
435           	1.544279e-03	5.468423e-02	1.741726e-03	2.415142e-03	-6.734163e-04
436           	1.543303e-03	5.469069e-02	1.741598e-03	2.414102e-03	-6.725040e-04
437           	1.542288e-03	5.468571e-02	1.741088e-03	2.412832e-03	-6.717437e-04
438           	1.544044e-03	5.468767e-02	1.741781e-03	2.414935e-03	-6.731540e-04
439           	1.543351e-03	5.468555e-02	1.741308e-03	2.414005e-03	-6.726970e-04
440           	1.543835e-03	5.468771e-02	1.741608e-03	2.414638e-03	-6.730307e-04
441           	1.543393e-03	5.468556e-02	1.742238e-03	2.414512e-03	-6.722738e-04
442           	1.544308e-03	5.468536e-02	1.741845e-03	2.415231e-03	-6.733853e-04
443           	1.543963e-03	5.468724e-02	1.741822e-03	2.414874e-03	-6.730522e-04
444           	1.543815e-03	5.468666e-02	1.741612e-03	2.414621e-03	-6.730093e-04
445           	1.543847e-03	5.468512e-02	1.741530e-03	2.414612e-03	-6.730819e-04
446           	1.543060e-03	5.468917e-02	1.741469e-03	2.413795e-03	-6.723260e-04
447           	1.544371e-03	5.468431e-02	1.741842e-03	2.415292e-03	-6.734505e-04
448           	1.543384e-03	5.468927e-02	1.741599e-03	2.414183e-03	-6.725847e-04
449           	1.543669e-03	5.468690e-02	1.742031e-03	2.414684e-03	-6.726532e-04
450           	1.543164e-03	5.468924e-02	1.741495e-03	2.413912e-03	-6.724171e-04
451           	1.544040e-03	5.468705e-02	1.741926e-03	2.415003e-03	-6.730765e-04
452           	1.542926e-03	5.468668e-02	1.741050e-03	2.413451e-03	-6.724007e-04
453           	1.544406e-03	5.468813e-02	1.742019e-03	2.415416e-03	-6.733968e-04
454           	1.543618e-03	5.468740e-02	1.741555e-03	2.414395e-03	-6.728400e-04
455           	1.544666e-03	5.468784e-02	1.742145e-03	2.415739e-03	-6.735940e-04
456           	1.543118e-03	5.468516e-02	1.742061e-03	2.414148e-03	-6.720870e-04
457           	1.544141e-03	5.468530e-02	1.741782e-03	2.415032e-03	-6.732500e-04
458           	1.543086e-03	5.469019e-02	1.741657e-03	2.413915e-03	-6.722577e-04
459           	1.543711e-03	5.468171e-02	1.741731e-03	2.414577e-03	-6.728459e-04
460           	1.543308e-03	5.468785e-02	1.741107e-03	2.413861e-03	-6.727540e-04
461           	1.543391e-03	5.468632e-02	1.741589e-03	2.414185e-03	-6.725964e-04
462           	1.542946e-03	5.468608e-02	1.741420e-03	2.413656e-03	-6.722364e-04
463           	1.544312e-03	5.468411e-02	1.741454e-03	2.415039e-03	-6.735850e-04
464           	1.542790e-03	5.469029e-02	1.741242e-03	2.413411e-03	-6.721691e-04
465           	1.543340e-03	5.468406e-02	1.741074e-03	2.413876e-03	-6.728026e-04
466           	1.542613e-03	5.468988e-02	1.740735e-03	2.412980e-03	-6.722450e-04
467           	1.543648e-03	5.468749e-02	1.741133e-03	2.414215e-03	-6.730815e-04
468           	1.543294e-03	5.468851e-02	1.741572e-03	2.414080e-03	-6.725074e-04
469           	1.543610e-03	5.468728e-02	1.741747e-03	2.414484e-03	-6.727366e-04
470           	1.543483e-03	5.468779e-02	1.741330e-03	2.414148e-03	-6.728181e-04
471           	1.543512e-03	5.468753e-02	1.741805e-03	2.414414e-03	-6.726096e-04
472           	1.543009e-03	5.468621e-02	1.740970e-03	2.413494e-03	-6.725242e-04
473           	1.543683e-03	5.468730e-02	1.742029e-03	2.414697e-03	-6.726685e-04
474           	1.544387e-03	5.468718e-02	1.742311e-03	2.415543e-03	-6.732312e-04
475           	1.544643e-03	5.468434e-02	1.742144e-03	2.415715e-03	-6.735708e-04
476           	1.543788e-03	5.468968e-02	1.742277e-03	2.414927e-03	-6.726499e-04
477           	1.543807e-03	5.468236e-02	1.742020e-03	2.414817e-03	-6.727967e-04
478           	1.543660e-03	5.468837e-02	1.741641e-03	2.414481e-03	-6.728399e-04
479           	1.543305e-03	5.468476e-02	1.741603e-03	2.414107e-03	-6.725042e-04
480           	1.544165e-03	5.468599e-02	1.741766e-03	2.415048e-03	-6.732823e-04
481           	1.543599e-03	5.468672e-02	1.741528e-03	2.414363e-03	-6.728356e-04
482           	1.542936e-03	5.468787e-02	1.741208e-03	2.413540e-03	-6.723315e-04
483           	1.544945e-03	5.468715e-02	1.742295e-03	2.416093e-03	-6.737979e-04
484           	1.543061e-03	5.468905e-02	1.741072e-03	2.413596e-03	-6.725249e-04
485           	1.543546e-03	5.468604e-02	1.741765e-03	2.414429e-03	-6.726637e-04
486           	1.543067e-03	5.468963e-02	1.741864e-03	2.413999e-03	-6.721355e-04
487           	1.544521e-03	5.468441e-02	1.741524e-03	2.415283e-03	-6.737592e-04
488           	1.543406e-03	5.468968e-02	1.741739e-03	2.414276e-03	-6.725366e-04
489           	1.543607e-03	5.468587e-02	1.741802e-03	2.414508e-03	-6.727064e-04
490           	1.543846e-03	5.468915e-02	1.741266e-03	2.414478e-03	-6.732129e-04
491           	1.543014e-03	5.468700e-02	1.741503e-03	2.413766e-03	-6.722629e-04
492           	1.543331e-03	5.468595e-02	1.741649e-03	2.414156e-03	-6.725066e-04
493           	1.543962e-03	5.468720e-02	1.741881e-03	2.414903e-03	-6.730214e-04
494           	1.543798e-03	5.468781e-02	1.742021e-03	2.414809e-03	-6.727881e-04
495           	1.544825e-03	5.468423e-02	1.742418e-03	2.416034e-03	-6.736162e-04
496           	1.543649e-03	5.468665e-02	1.741937e-03	2.414617e-03	-6.726800e-04
497           	1.543476e-03	5.468490e-02	1.741788e-03	2.414371e-03	-6.725824e-04
498           	1.543944e-03	5.468711e-02	1.741692e-03	2.414790e-03	-6.730980e-04
499           	1.543577e-03	5.468471e-02	1.741511e-03	2.414332e-03	-6.728210e-04
500           	1.543497e-03	5.469024e-02	1.741277e-03	2.414135e-03	-6.728582e-04
